Block,BlockGroup
60750234001024,60750234001
60750331004000,60750331004
60750309006000,60750309006
60750308004010,60750308004
60750309005017,60750309005
60750304004006,60750304004
60750303022011,60750303022
60750310001007,60750310001
60750155003002,60750155003
60750202002010,60750202002
60750310003015,60750310003
60750309004008,60750309004
60750179021046,60750179021
60750353005000,60750353005
60750353001005,60750353001
60750353005003,60750353005
60750427002005,60750427002
60750478011004,60750478011
60750427002000,60750427002
60750327007010,60750327007
60750327002005,60750327002
60750327006002,60750327006
60750327004005,60750327004
60750302011010,60750302011
60750302013010,60750302013
60750302012004,60750302012
60750302011006,60750302011
60750302012003,60750302012
60750329022007,60750329022
60750329021005,60750329021
60750157004006,60750157004
60750165004000,60750165004
60750165004002,60750165004
60750157001016,60750157001
60750313023031,60750313023
60750301011000,60750301011
60750301021002,60750301021
60750166004002,60750166004
60750171023005,60750171023
60750171021000,60750171021
60750171013005,60750171013
60750166004005,60750166004
60750166002002,60750166002
60750171011002,60750171011
60750171022004,60750171022
60750171021006,60750171021
60750171022000,60750171022
60750301023001,60750301023
60750301023000,60750301023
60750303014012,60750303014
60750303014015,60750303014
60750176014001,60750176014
60750177002014,60750177002
60750176013007,60750176013
60750211002008,60750211002
60750210002006,60750210002
60750209004001,60750209004
60750210004001,60750210004
60750209003002,60750209003
60750209003003,60750209003
60750215003007,60750215003
60750215004004,60750215004
60750217003008,60750217003
60750218002005,60750218002
60750256002007,60750256002
60750257013005,60750257013
60750257013008,60750257013
60750257012045,60750257012
60750257012038,60750257012
60750257022017,60750257022
60750257023000,60750257023
60750258001003,60750258001
60750264011000,60750264011
60750264042001,60750264042
60750251001000,60750251001
60750251003012,60750251003
60750251003040,60750251003
60750231032001,60750231032
60750231022002,60750231022
60750231021003,60750231021
60750111001006,60750111001
60750111001005,60750111001
60750151001000,60750151001
60759803001047,60759803001
60750166003005,60750166003
60750166004004,60750166004
60759803001053,60759803001
60750327006006,60750327006
60750329021008,60750329021
60750327005004,60750327005
60750327005003,60750327005
60750157004005,60750157004
60750165004001,60750165004
60750157003008,60750157003
60750179021031,60750179021
60750157002007,60750157002
60750165002004,60750165002
60750132003006,60750132003
60750132003017,60750132003
60750171012002,60750171012
60750171021005,60750171021
60750171012006,60750171012
60750305001005,60750305001
60750301023006,60750301023
60750314002009,60750314002
60759809001042,60759809001
60750314003005,60750314003
60750612002010,60750612002
60750612002017,60750612002
60750612001027,60750612001
60750252001000,60750252001
60750255001023,60750255001
60750257012020,60750257012
60750129023014,60750129023
60750128002001,60750128002
60750130002000,60750130002
60750102001012,60750102001
60750102001008,60750102001
60750102003008,60750102003
60750102002007,60750102002
60750102002003,60750102002
60750132001006,60750132001
60750135001001,60750135001
60750135001006,60750135001
60750152002005,60750152002
60750152002006,60750152002
60750131021003,60750131021
60750215005001,60750215005
60750214002000,60750214002
60750214002006,60750214002
