Block,BlockGroup,Tract
60750110001001.00,60750110001,6075011000
60750110001002.00,60750110001,6075011000
60750110001003.00,60750110001,6075011000
60750110001004.00,60750110001,6075011000
60750110001005.00,60750110001,6075011000
60750110001006.00,60750110001,6075011000
60750110001007.00,60750110001,6075011000
60750110001008.00,60750110001,6075011000
60750110001009.00,60750110001,6075011000
60750110001010.00,60750110001,6075011000
60750110001011.00,60750110001,6075011000
60750110002000.00,60750110002,6075011000
60750110002001.00,60750110002,6075011000
60750110002002.00,60750110002,6075011000
60750110002003.00,60750110002,6075011000
60750110002004.00,60750110002,6075011000
60750110002005.00,60750110002,6075011000
60750110002006.00,60750110002,6075011000
60750110003000.00,60750110003,6075011000
60750110003001.00,60750110003,6075011000
60750110003002.00,60750110003,6075011000
60750110003003.00,60750110003,6075011000
60750110003004.00,60750110003,6075011000
60750110003005.00,60750110003,6075011000
60750110003006.00,60750110003,6075011000
60750110003007.00,60750110003,6075011000
60750111001000.00,60750111001,6075011100
60750111001001.00,60750111001,6075011100
60750111001002.00,60750111001,6075011100
60750111001003.00,60750111001,6075011100
60750111001004.00,60750111001,6075011100
60750111001005.00,60750111001,6075011100
60750111001006.00,60750111001,6075011100
60750111001007.00,60750111001,6075011100
60750111002000.00,60750111002,6075011100
60750111002001.00,60750111002,6075011100
60750111002002.00,60750111002,6075011100
60750111002003.00,60750111002,6075011100
60750111002004.00,60750111002,6075011100
60750111002005.00,60750111002,6075011100
60750111002006.00,60750111002,6075011100
60750111003000.00,60750111003,6075011100
60750111003001.00,60750111003,6075011100
60750111003002.00,60750111003,6075011100
60750111003003.00,60750111003,6075011100
60750111003004.00,60750111003,6075011100
60750111003005.00,60750111003,6075011100
60750111003006.00,60750111003,6075011100
60750112001000.00,60750112001,6075011200
60750112001001.00,60750112001,6075011200
60750112001002.00,60750112001,6075011200
60750112001003.00,60750112001,6075011200
60750112001004.00,60750112001,6075011200
60750112001005.00,60750112001,6075011200
60750112002000.00,60750112002,6075011200
60750112002001.00,60750112002,6075011200
60750112002002.00,60750112002,6075011200
60750112002003.00,60750112002,6075011200
60750112002004.00,60750112002,6075011200
60750112002005.00,60750112002,6075011200
60750112003000.00,60750112003,6075011200
60750112003001.00,60750112003,6075011200
60750112003002.00,60750112003,6075011200
60750112003003.00,60750112003,6075011200
60750112003004.00,60750112003,6075011200
60750112003005.00,60750112003,6075011200
60750113001000.00,60750113001,6075011300
60750113001001.00,60750113001,6075011300
60750113001002.00,60750113001,6075011300
60750113001003.00,60750113001,6075011300
60750113001004.00,60750113001,6075011300
60750113001005.00,60750113001,6075011300
60750113001006.00,60750113001,6075011300
60750113002000.00,60750113002,6075011300
60750113002001.00,60750113002,6075011300
60750113002002.00,60750113002,6075011300
60750113002003.00,60750113002,6075011300
60750113002004.00,60750113002,6075011300
60750113002005.00,60750113002,6075011300
60750117001000.00,60750117001,6075011700
60750117001001.00,60750117001,6075011700
60750117001002.00,60750117001,6075011700
60750117001003.00,60750117001,6075011700
60750117001004.00,60750117001,6075011700
60750117001005.00,60750117001,6075011700
60750117001006.00,60750117001,6075011700
60750117001007.00,60750117001,6075011700
60750117001008.00,60750117001,6075011700
60750117001009.00,60750117001,6075011700
60750117001010.00,60750117001,6075011700
60750117001011.00,60750117001,6075011700
60750117001012.00,60750117001,6075011700
60750117001013.00,60750117001,6075011700
60750117001014.00,60750117001,6075011700
60750117001015.00,60750117001,6075011700
60750117001016.00,60750117001,6075011700
60750117001017.00,60750117001,6075011700
60750117001018.00,60750117001,6075011700
60750117001019.00,60750117001,6075011700
60750117001020.00,60750117001,6075011700
60750117001021.00,60750117001,6075011700
60750117001022.00,60750117001,6075011700
60750117001023.00,60750117001,6075011700
60750117001024.00,60750117001,6075011700
60750117001025.00,60750117001,6075011700
60750117001026.00,60750117001,6075011700
60750117001027.00,60750117001,6075011700
60750117001028.00,60750117001,6075011700
60750117001029.00,60750117001,6075011700
60750117001030.00,60750117001,6075011700
60750117001031.00,60750117001,6075011700
60750117002000.00,60750117002,6075011700
60750117002001.00,60750117002,6075011700
60750117002002.00,60750117002,6075011700
60750117002003.00,60750117002,6075011700
60750117002004.00,60750117002,6075011700
60750117002005.00,60750117002,6075011700
60750117002006.00,60750117002,6075011700
60750117002007.00,60750117002,6075011700
60750117002008.00,60750117002,6075011700
60750117002009.00,60750117002,6075011700
60750117002010.00,60750117002,6075011700
60750117002011.00,60750117002,6075011700
60750117002012.00,60750117002,6075011700
60750117002013.00,60750117002,6075011700
60750117002014.00,60750117002,6075011700
60750117002015.00,60750117002,6075011700
60750117002016.00,60750117002,6075011700
60750117002017.00,60750117002,6075011700
60750117002018.00,60750117002,6075011700
60750117002019.00,60750117002,6075011700
60750117002020.00,60750117002,6075011700
60750117002021.00,60750117002,6075011700
60750117002022.00,60750117002,6075011700
60750117002023.00,60750117002,6075011700
60750117002024.00,60750117002,6075011700
60750117002025.00,60750117002,6075011700
60750117002026.00,60750117002,6075011700
60750117002027.00,60750117002,6075011700
60750117002028.00,60750117002,6075011700
60750117002029.00,60750117002,6075011700
60750118001000.00,60750118001,6075011800
60750118001001.00,60750118001,6075011800
60750118001002.00,60750118001,6075011800
60750118001003.00,60750118001,6075011800
60750118001004.00,60750118001,6075011800
60750118001005.00,60750118001,6075011800
60750118001006.00,60750118001,6075011800
60750119011000.00,60750119011,6075011901
60750119011001.00,60750119011,6075011901
60750119012000.00,60750119012,6075011901
60750119012001.00,60750119012,6075011901
60750119021000.00,60750119021,6075011902
60750119021001.00,60750119021,6075011902
60750119021002.00,60750119021,6075011902
60750119021003.00,60750119021,6075011902
60750119022000.00,60750119022,6075011902
60750119022001.00,60750119022,6075011902
60750119022002.00,60750119022,6075011902
60750119022003.00,60750119022,6075011902
60750120001000.00,60750120001,6075012000
60750120001001.00,60750120001,6075012000
60750120001002.00,60750120001,6075012000
60750120001003.00,60750120001,6075012000
60750120001004.00,60750120001,6075012000
60750120001005.00,60750120001,6075012000
60750120001006.00,60750120001,6075012000
60750120002000.00,60750120002,6075012000
60750120002001.00,60750120002,6075012000
60750120002002.00,60750120002,6075012000
60750120002003.00,60750120002,6075012000
60750120002004.00,60750120002,6075012000
60750120002005.00,60750120002,6075012000
60750120002006.00,60750120002,6075012000
60750121001000.00,60750121001,6075012100
60750121001001.00,60750121001,6075012100
60750121001002.00,60750121001,6075012100
60750121001003.00,60750121001,6075012100
60750121001004.00,60750121001,6075012100
60750121001005.00,60750121001,6075012100
60750121001006.00,60750121001,6075012100
60750121002000.00,60750121002,6075012100
60750121002001.00,60750121002,6075012100
60750121002002.00,60750121002,6075012100
60750121002003.00,60750121002,6075012100
60750122011000.00,60750122011,6075012201
60750122011001.00,60750122011,6075012201
60750122011002.00,60750122011,6075012201
60750122011003.00,60750122011,6075012201
60750122012000.00,60750122012,6075012201
60750122012001.00,60750122012,6075012201
60750122021000.00,60750122021,6075012202
60750122021001.00,60750122021,6075012202
60750122021002.00,60750122021,6075012202
60750122021003.00,60750122021,6075012202
60750122021004.00,60750122021,6075012202
60750122021005.00,60750122021,6075012202
60750122021006.00,60750122021,6075012202
60750122021007.00,60750122021,6075012202
60750122021008.00,60750122021,6075012202
60750122021009.00,60750122021,6075012202
60750122021010.00,60750122021,6075012202
60750122021011.00,60750122021,6075012202
60750122021012.00,60750122021,6075012202
