Grade,PathwayCode,PathwayName,SchNum,SchoolName,Scenario_A_Capacity,Scenario_B_Capacity,Scenario_C_Capacity,Scenario_D_Capacity
K,SB,Spanish Biliteracy,481,Cleveland ES,22,40,22,22
K,GE,Gen Ed,525,Cobb (Dr William L) ES,22,22,0,22
K,GE,Gen Ed,507,Drew (Dr Charles) College Preparatory Academy ES,66,22,66,66
K,GE,Gen Ed,521,El Dorado ES,44,22,44,44
K,AF,SDC – Mild/Mod Autism Focus,521,El Dorado ES,3,3,3,3
K,ED,SDC - Emotionally Disturbed,539,Feinstein (Dianne) ES,3,2,3,3
K,GE,Gen Ed,539,Feinstein (Dianne) ES,88,64,88,88
K,SE,Spanish Immersion (Non-Native),680,Flynn (Leonard R) ES,22,22,22,22
K,SN,Spanish Immersion (Spanish Speakers),680,Flynn (Leonard R) ES,22,22,22,22
K,GE,Gen Ed,680,Flynn (Leonard R) ES,44,33,44,44
K,AF,SDC – Mild/Mod Autism Focus,562,Garfield ES,5,3,5,5
K,CE,Cantonese Immersion (All English),562,Garfield ES,9,9,9,9
K,CN,Cantonese Immersion (Cantonese Speakers),562,Garfield ES,13,13,13,13
K,GE,Gen Ed,562,Garfield ES,22,22,22,22
K,SA,SDC - Mod/Severe Autism Focus,575,Glen Park ES,4,3,4,4
K,SB,Spanish Biliteracy,575,Glen Park ES,22,22,22,22
K,GE,Gen Ed,575,Glen Park ES,22,42,22,22
K,SA,SDC - Mod/Severe Autism Focus,589,Grattan ES,4,5,4,4
K,GE,Gen Ed,589,Grattan ES,64,64,64,64
K,GE,Gen Ed,593,Guadalupe ES,22,22,22,22
K,SB,Spanish Biliteracy,593,Guadalupe ES,22,22,22,22
K,SE,Spanish Immersion (Non-Native),453,Harte (Bret) ES,9,9,9,9
